name,year,summary,url
Asal Uttar,Unknown,"The Battle of Asal Uttar was one of the largest tank battles of the Indo-Pakistani War of 1965 fought from 8 to 10 September 1965 at Asal Uttar, a village in the Tarn Taran district of Punjab, India. When the Pakistan Army thrust its tanks and infantry into Indian territory, capturing the Indian town of Khem Karan 5 km from the India–Pakistan border, Indian troops retaliated, and after three days of bitter fighting, the battle ended with the Pakistani forces being repulsed near Asal Uttar. Facto",https://en.wikipedia.org/wiki/Battle_of_Asal_Uttar
Bloody Ridge,Unknown,"The Battle of Bloody Ridge was a ground combat battle that took place during the Korean War from 18 August to 5 September 1951.
By the summer of 1951, the Korean War had reached a stalemate as peace negotiations began at Kaesong. The opposing armies faced each other across a line which ran from east to west, through the middle of the Korean peninsula, located in hills a few miles north of the 38th Parallel in the central Korean mountain range. United Nations and the North Korean Korean People's ",https://en.wikipedia.org/wiki/Battle_of_Bloody_Ridge
Hastings,Unknown,"The Battle of Hastings was fought on 14 October 1066 between the Norman-French army of William, Duke of Normandy, and an English army under the Anglo-Saxon King Harold Godwinson, beginning the Norman Conquest of England. It took place approximately 7 mi (11 km) northwest of Hastings, close to the present-day town of Battle, East Sussex, and was a decisive Norman victory.
The background to the battle was the death of the childless King Edward the Confessor in January 1066, which set up a successi",https://en.wikipedia.org/wiki/Battle_of_Hastings
Rorke's Drift,Unknown,"The Battle of Rorke's Drift, also known as the Defence of Rorke's Drift, was an engagement in the Anglo-Zulu War. The successful British defence of the Swedish mission station of Rorke's Drift, under the command of Lieutenants John Chard of the Royal Engineers and Gonville Bromhead of the 24th Regiment of Foot, began once a large contingent of Zulu warriors broke off from the main force during the final hour of the British defeat at the day-long Battle of Isandlwana on 22 January 1879. They trav",https://en.wikipedia.org/wiki/Battle_of_Rorke%27s_Drift
Springfield,Unknown,"The Battle of Springfield was fought during the American Revolutionary War on June 23, 1780, in Union County, New Jersey. After the Battle of Connecticut Farms, on June 7, 1780, had foiled  Lieutenant General Wilhelm, Baron von Knyphausen's expedition to attack General George Washington's army at Morristown, New Jersey, Knyphausen and Lieutenant General Sir Henry Clinton, British commander-in-chief in North America, decided upon a second attempt.  Although the British were initially able to adva",https://en.wikipedia.org/wiki/Battle_of_Springfield
Conclusion of the American Civil War,Unknown,"The conclusion of the American Civil War commenced with the articles of surrender agreement of the Army of Northern Virginia on April 9, at Appomattox Court House, by General Robert E. Lee and concluded with the surrender of the CSS Shenandoah on November 6, 1865, bringing the hostilities of the American Civil War to a close. Legally, the war did not end until a proclamation by President Andrew Johnson on August 20, 1866, when he declared ""that the said insurrection is at an end and that peace, ",https://en.wikipedia.org/wiki/Conclusion_of_the_American_Civil_War
Kars (1745),Unknown,"The Battle of Kars (19 August 1745) was the last major engagement of the Ottoman–Persian War. The battle resulted in the complete and utter destruction of the Ottoman army. It was also the last of the great military triumphs of Nader Shah. The battle was in fact fought over a period of ten days in which the first day saw the Ottomans routed from the field, followed by a series of subsequent blockades and pursuits until the final destruction of the Ottoman army. The severity of the defeat, in con",https://en.wikipedia.org/wiki/Battle_of_Kars_(1745)
List of costliest American Civil War land battles,Unknown,"This is a list of the costliest land battles of the American Civil War, measured by casualties (killed, wounded, captured, and missing) on both sides.",https://en.wikipedia.org/wiki/List_of_costliest_American_Civil_War_land_battles
Causes of World War I,Unknown,"The identification of the causes of World War I remains a debated issue. World War I began in the Balkans on July 28, 1914, and hostilities ended on November 11, 1918, leaving 17 million dead and 25 million wounded. Moreover, the Russian Civil War can in many ways be considered a continuation of World War I, as can various other conflicts in the direct aftermath of 1918.
Scholars looking at the long term seek to explain why two rival sets of powers (the German Empire, Austria-Hungary, and the Ot",https://en.wikipedia.org/wiki/Causes_of_World_War_I
Ushant (1781),Unknown,"The Second Battle of Ushant was a naval battle fought between French and British squadrons near Ushant, an island off the coast of Brittany, on 12 December 1781, as part of the American Revolutionary War.",https://en.wikipedia.org/wiki/Battle_of_Ushant_(1781)
Urmia (1604),Unknown,"The Battle of Urmia (or, Urumiyeh) (Persian: نبرد ارومیه) was fought near Lake Urmia in north-western Persia between the Safavid and Ottoman empires and resulted in a decisive Safavid victory. The Ottomans were fooled into an ambush by the Iranian army where many of them were killed or captured in an encirclement manoeuvre. Over the next three years all of western and northern Persia was recaptured and the Safavids even re-established their suzerainty over their former vassals in the Caucasus.",https://en.wikipedia.org/wiki/Battle_of_Urmia_(1604)
Párkány,Unknown,"The Battle of Párkány (Turkish: Ciğerdelen Savaşı) was fought between October 7–9, 1683 in the town of Párkány (today: Štúrovo), in the Ottoman Empire, and the area surrounding it as part of the Polish-Ottoman War and the Great Turkish War. The battle was fought in two stages. In the first stage Polish troops under John III Sobieski were defeated by the Ottoman army under Kara Mehmed Pasha on October 7, 1683. In the second stage Sobieski, supported by Austrian forces under Charles V, Duke of Lor",https://en.wikipedia.org/wiki/Battle_of_P%C3%A1rk%C3%A1ny
Clontarf,Unknown,"The Battle of Clontarf (Irish: Cath Chluain Tarbh) took place on 23 April 1014 at Clontarf, near Dublin, on the east coast of Ireland. It pitted an army led by Brian Boru, High King of Ireland, against a Norse-Irish alliance comprising the forces of Sigtrygg Silkbeard, King of Dublin; Máel Mórda mac Murchada, King of Leinster; and a Viking army from abroad led by Sigurd of Orkney and Brodir of Mann. It lasted from sunrise to sunset, and ended in a rout of the Viking and Leinster armies.
It is es",https://en.wikipedia.org/wiki/Battle_of_Clontarf
Battle,Unknown,"A battle is an occurrence of combat in warfare between opposing military units of any number or size. A war usually consists of multiple battles. In general, a battle is a series of military engagements that is well defined in duration, area, and force commitment. An engagement with only limited commitment between the forces and without decisive results is sometimes called a skirmish.
The word ""battle"" can also be used infrequently to refer to an entire operational campaign, although this usage ",https://en.wikipedia.org/wiki/Battle
Fahl,Unknown,"The Battle of Fahl (Arabic: يوم فحل, romanized: Yawm Faḥl), also known as the Battle of the Marshes (Yawm al-Radagha) and the Battle of Beisan (Yawm Baysān), was a major battle in the Muslim conquest of Byzantine Syria fought by the Arab troops of the Rashidun Caliphate and Byzantine forces at or near Pella (Fahl) and nearby Scythopolis (Beisan), both in the Jordan Valley, in December 634 or January 635.
Byzantine troops smarting from their rout by the Muslims at the battle of Ajnadayn had regro",https://en.wikipedia.org/wiki/Battle_of_Fahl
Four Battles in North Africa,Unknown,"Four Battles in North Africa is a collection of four board wargames published in 1976 by Simulations Publications, Inc. (SPI) that simulate various battles during the North African Campaign of World War II.",https://en.wikipedia.org/wiki/Four_Battles_in_North_Africa
Naval warfare,Unknown,"Naval warfare is combat in and on the sea, the ocean, or any other battlespace involving a major body of water such as a large lake or wide river.
The armed forces branch designated for naval warfare is a navy. Naval operations can be broadly divided into riverine/littoral applications (brown-water navy), open-ocean applications (blue-water navy), between riverine/littoral and open-ocean applications (green-water navy), although these distinctions are more about strategic scope than tactical or ",https://en.wikipedia.org/wiki/Naval_warfare
World War II monuments and memorials in Yugoslavia,Unknown,"The authorities of the Socialist Federal Republic of Yugoslavia established many World War II memorials during the country's existence. Several memorial sites were established between 1945 and 1960, though widespread building started after the founding of the Non-Aligned Movement.
Yugoslav president Josip Broz Tito commissioned several memorial sites and monuments in the 1960s and 1970s dedicated to World War II battles, and Nazi concentration camp sites. They were designed by notable sculptors,",https://en.wikipedia.org/wiki/World_War_II_monuments_and_memorials_in_Yugoslavia
Rohilla,Unknown,"The Battle of Rohilla, also known as the Battle of Hargobindpur, was a 1621 campaign by the Mughal Empire against the growing influence of the Sikhs.
After the execution of Guru Arjan Dev, Guru Hargobind fully militarized the Sikhs into a proper militia mostly based on an irregular cavalry style of warfare. In 1621, Hargobind envisaged a plan to develop a town, Sri Hargobindpur, that was founded by his father. A dispute over the possession of land and plans to erect a building ensued between the",https://en.wikipedia.org/wiki/Battle_of_Rohilla
First battle of Dongola,Unknown,"The first battle of Dongola took place between the early Muslim Rashidun army and the Oriental Orthodox Christian Nubians of the Makuria in 642, This was the  first real Rashidun Arab defeat on the battlefield despite outnumbering their opponents.
The battle, which resulted in a Makurian victory, halted Arab incursions into Nubia and set the tone for an atmosphere of hostility between the two cultures until the culmination of the second battle of Dongola in 652.",https://en.wikipedia.org/wiki/First_battle_of_Dongola
Aftermath of World War II,Unknown,"The aftermath of World War II saw the rise of two global superpowers, the United States (U.S.) and the Soviet Union (USSR). The aftermath of World War II was also defined by the rising threat of nuclear warfare, the creation and implementation of the United Nations as an intergovernmental organization, and the decolonization of Asia, Oceania, South America and Africa by European and East Asian powers, most notably by the United Kingdom and France.
Once allies during World War II, the U.S. and th",https://en.wikipedia.org/wiki/Aftermath_of_World_War_II
Mongol invasion of the Khwarazmian Empire,Unknown,"Between 1219 and 1221, the Mongol forces under Genghis Khan invaded the lands of the Khwarazmian Empire in Central Asia. The campaign, which followed the annexation of the Qara Khitai Khanate, saw widespread devastation and atrocities. The invasion marked the completion of the Mongol conquest of Central Asia, and began the Mongol conquest of Persia.
Both belligerents, although large, had been formed recently: the Khwarazmian dynasty had expanded from their homeland to replace the Seljuk Empire i",https://en.wikipedia.org/wiki/Mongol_invasion_of_the_Khwarazmian_Empire
Rezang La,Unknown,"The Battle of Rezang La , also known as Battle of No.8 and No.9 Indian Posts in Ngari (Chinese: 阿印8、9号据点之战) in Chinese narrative, was a military engagement that took place on 18 November 1962, during the Second phase of Sino-Indian War in wester LAC.
To Chinese, it is a major military engagement in the Battle of Bangongluo (Chinese: 班公洛之战), where the reinforced 3rd Battalion of 11th Infantry Regiment was able to capture Rezang La with superior artillery fire in less than 2 hours.
In Indian narra",https://en.wikipedia.org/wiki/Battle_of_Rezang_La
Khotyn (1621),Unknown,"The Battle of Khotyn or Battle of Chocim or Khotyn War (in Turkish: Hotin Muharebesi) was a combined siege and series of battles which took place from 2 September to 9 October 1621 between a Polish–Lithuanian Commonwealth, commanded by the Grand Hetman of Lithuania Jan Karol Chodkiewicz, against an invading Ottoman Imperial army, led by Sultan Osman II, which was stopped until the first autumn snows. On 9 October, due to the lateness of the season and heavy losses - due to failed assaults on Com",https://en.wikipedia.org/wiki/Battle_of_Khotyn_(1621)
Cynoscephalae,Unknown,"The Battle of Cynoscephalae (Greek: Μάχη τῶν Κυνὸς Κεφαλῶν) was an encounter battle fought in Thessaly in 197 BC between the Roman army, led by Titus Quinctius Flamininus, and the Antigonid dynasty of Macedon, led by Philip V, during the Second Macedonian War. It was a decisive Roman victory and marked the end of the conflict.",https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae
Marj Ardabil,Unknown,"The Battle of Marj Ardabil or the Battle of Ardabil was fought on the plains surrounding the city of Ardabil in northwestern Iran in AD 730. A Khazar army led by Barjik, the son of the Khazar khagan, invaded the Umayyad provinces of Jibal and Iranian Azerbaijan in retaliation for Caliphate attacks on Khazaria during the course of the decades-long Khazar-Arab War of the early 8th century.
Barjik's expedition into northern Iran (and later into Kurdistan and northern Mesopotamia) may have been an a",https://en.wikipedia.org/wiki/Battle_of_Marj_Ardabil
Łagów,Unknown,"The Battle of Łagów was a battle during the Third Mongol invasion of Poland in the winter of 1287, where a Polish army defeated an invading Mongolian force.

",https://en.wikipedia.org/wiki/Battle_of_%C5%81ag%C3%B3w
Yultong,Unknown,"The Battle of Yultong (Korean: 율동 전투; RR: Yultong Jeontu; Filipino: Labanan sa Yultong), also known as the Battle of Meiluodong (Chinese: 美罗洞战斗; pinyin: Měiluódòng Zhàndòu), Battle of Yuldong, or Battle of Yuldong-ri, took place during the Korean War. It was fought between approximately 15,000 soldiers from elements of the Chinese People's Volunteer Army (PVA) 34th Division (44th Division from Chinese sources) and 900 Filipino soldiers 10th Battalion Combat Team (BCT), north of Yeoncheon during ",https://en.wikipedia.org/wiki/Battle_of_Yultong
Tiger Hill,Unknown,"The Battle of Tiger Hill encompasses the battles fought in and around the peak of Tiger Hill between the Indian Army and Pakistani Army from the final week of May till second week of June 1999, during the Kargil War. The battle, with the concomitant battle for the adjoining peak of Tololing, culminated in Indian forces capturing Tiger Hill (Point 5060). The Tiger Hill area, including Point 5100, is to the west of Tololing. Peaks in Tololing include Point 5140 and Point 4875 and others.",https://en.wikipedia.org/wiki/Battle_of_Tiger_Hill
Battles of Zanzur (1912),Unknown,"The Battles of Zanzur or Battles of Janzur, were a series of battles that took place in 1911–1912 at Zanzur oasis, near Tripoli during the Italo-Turkish War. During the battles, the Italians unsuccessfully attacked the Turkish-Arab stronghold located approximately twelve miles from the Italian lines at Tripoli until finally achieving a victory on 20 September 1912.",https://en.wikipedia.org/wiki/Battles_of_Zanzur_(1912)
al-Qadisiyyah,Unknown,"The Battle of al-Qadisiyyah (Arabic: مَعْرَكَة ٱلْقَادِسِيَّة Maʿrakat al-Qādisīyah; Persian: نبرد قادسیه Nâbārd-e Qâdisiyeh) took place between the armies of the Rashidun Caliphate and the Sasanian Empire in November 636. It resulted in a decisive victory for the Rashidun army and is considered to be one of the most significant engagements of the Muslim conquest of Persia, and thereby of the early Muslim conquests as a whole. After losing al-Qadisiyyah, the Sasanian army was left unable to defe",https://en.wikipedia.org/wiki/Battle_of_al-Qadisiyyah
Quramati,Unknown,"The Battle of Quramati took place on the east of the Euphrates River between the Egyptian army and the Babylonian army. The battle ended with the defeat of the Babylonians.

",https://en.wikipedia.org/wiki/Battle_of_Quramati
Kentucky in the American Civil War,Unknown,"Kentucky was a southern border state of key importance in the American Civil War. It officially declared its neutrality at the beginning of the war, but after a failed attempt by Confederate General Leonidas Polk to take the state of Kentucky for the Confederacy, the legislature petitioned the Union Army for assistance. Though the Confederacy controlled more than half of Kentucky early in the war, after early 1862 Kentucky came largely under U.S. control. In the historiography of the Civil War, ",https://en.wikipedia.org/wiki/Kentucky_in_the_American_Civil_War
Kobanî,Unknown,"The siege of Kobanî was launched by the Islamic State (IS) on 13 September 2014, in order to capture the Kobanî Canton and its main city of Kobanî (also known as Kobanê or Ayn al-Arab) in northern Syria, in the de facto autonomous region of Rojava.
By 2 October 2014, IS succeeded in capturing 350 Kurdish villages and towns in the vicinity of Kobanê, generating a wave of some 300,000 Kurdish refugees, who fled across the border into Turkey's Şanlıurfa Province. By January 2015, the number had ris",https://en.wikipedia.org/wiki/Siege_of_Koban%C3%AE
List of Ottoman battles in the 20th century,Unknown,"This is a list of 20th-century battles involving the Ottoman Empire prior to World War I; for World War I battles, see List of Ottoman battles in World War I.",https://en.wikipedia.org/wiki/List_of_Ottoman_battles_in_the_20th_century
Baekgang,Unknown,"The Battle of Baekgang (Korean: 백강 전투; Hanja: 白江戰鬪) or Battle of Baekgang-gu, also known as the Battle of Hakusukinoe (Japanese: 白村江の戦い, romanized: Hakusuki-no-e no Tatakai / Hakusonkō no Tatakai) in Japan, and as the Battle of Baijiangkou (Chinese: 白江口之战; Chinese: 白江口之戰; pinyin: Bāijiāngkǒu Zhīzhàn) in China, was a battle between Paekche restoration forces and their ally, Yamato Japan, against the allied forces of Silla and Tang China. The battle took place in the Baengma River (Korean: 백마강; Ha",https://en.wikipedia.org/wiki/Battle_of_Baekgang
Hattin,Unknown,"The Battle of Hattin took place on 4 July 1187, between the Crusader states of the Levant and the forces of the Ayyubid sultan Saladin. It is also known as the Battle of the Horns of Hattin, due to the shape of the nearby extinct volcano of that name.
The Muslim armies under Saladin captured or killed the vast majority of the Crusader forces, removing their capability to wage war. As a direct result of the battle, Muslims once again became the eminent military power in the Holy Land, re-capturin",https://en.wikipedia.org/wiki/Battle_of_Hattin
Toro,Unknown,"The Battle of Toro was part of the War of the Castilian Succession, fought on 1 March 1476, near the city of Toro, between the Castilian-Aragonese troops of the Catholic Monarchs and the Portuguese-Castilian forces of Afonso V and Prince John of Portugal.

The battle was militarily inconclusive, as both sides claimed victory: the Castilian right wing was defeated by the forces under  Prince John who possessed the battlefield, but the troops of Afonso V were beaten by the Castilian left-centre le",https://en.wikipedia.org/wiki/Battle_of_Toro
Petersburg,Unknown,"The Richmond–Petersburg campaign was a series of battles around Petersburg, Virginia, fought from June 9, 1864, to March 25, 1865, during the American Civil War. Although it is more popularly known as the siege of Petersburg, it was not a classic military siege, in which a city is encircled with fortifications blocking all routes of ingress and egress, nor was it strictly limited to actions against Petersburg. 
The campaign consisted of nine months of trench warfare in which Union forces command",https://en.wikipedia.org/wiki/Siege_of_Petersburg
Military history of Italy during World War II,Unknown,"The participation of Italy in the Second World War was characterized by a complex framework of ideology, politics, and diplomacy, while its military actions were often heavily influenced by external factors. Italy joined the war as one of the Axis Powers in 1940 (as the French Third Republic surrendered) with a plan to concentrate Italian forces on a major offensive against the British Empire in Africa and the Middle East, known as the ""parallel war"", while expecting the collapse of British forc",https://en.wikipedia.org/wiki/Military_history_of_Italy_during_World_War_II
List of wars and battles involving China,Unknown,"The following is a list of wars and battles involving China, organized by date.",https://en.wikipedia.org/wiki/List_of_wars_and_battles_involving_China
Stamford Bridge,Unknown,"The Battle of Stamford Bridge (Old English: Gefeoht æt Stanfordbrycge) took place at the village of Stamford Bridge, East Riding of Yorkshire, in England, on 25 September 1066, between an English army under King Harold Godwinson and an invading Norwegian force led by King Harald Hardrada and the English king's brother Tostig Godwinson. After a bloody battle, both Hardrada and Tostig, along with most of the Norwegians, were killed. Although Harold Godwinson repelled the Norwegian invaders, his ar",https://en.wikipedia.org/wiki/Battle_of_Stamford_Bridge
List of Ottoman battles in which the sultan participated,Unknown,"The List of Ottoman Battles In Which The Sultans Participated In is shown below. Note that the sieges are not included in the list. For a complete list of all battles involving the Ottoman Empire see the List of battles involving the Ottoman Empire.

",https://en.wikipedia.org/wiki/List_of_Ottoman_battles_in_which_the_sultan_participated
Opole,Unknown,"The Battle of Opole took place in the Polish town of Opole, in early April 1241, during the Mongol invasion of Poland. It ended in the victory of the Mongol forces, who defeated knights from Opole Silesia and Lesser Poland, headed by Duke Wladyslaw Opolski.
In late March 1241, Mongol forces, which had previously been divided into two armies, reunited in the area of Kraków. On 1 April the invaders headed westwards, to the Polish province of Silesia. After a skirmish near Raciborz, the Mongols dec",https://en.wikipedia.org/wiki/Battle_of_Opole
Lyngør,Unknown,"The Battle of Lyngør was a naval action fought between Denmark-Norway and the United Kingdom in 1812 on the southern coast of Norway. The battle ended in a Dano-Norwegian defeat, and marked the end of the Kingdom of Denmark-Norway's involvement in the Napoleonic Wars.

",https://en.wikipedia.org/wiki/Battle_of_Lyng%C3%B8r
Red Chinese Battle Plan,Unknown,"Red Chinese Battle Plan is a 28-minute black-and-white propaganda short produced by the United States Department of Defense in 1967. Presented as a documentary film on Chinese history to military servicemen, the propaganda short describes the People's Republic of China as plotting to ""conquer and enslave"" the world.",https://en.wikipedia.org/wiki/Red_Chinese_Battle_Plan
Hyelion and Leimocheir,Unknown,"The Battle of Hyelion and Leimocheir saw the almost complete destruction by the Byzantines of a large Seljuq Turk army. The Seljuq army had been raiding Byzantine territory in the Maeander Valley in Anatolia, and had sacked a number of cities. The Byzantine force ambushed the Turks at a river crossing.",https://en.wikipedia.org/wiki/Battle_of_Hyelion_and_Leimocheir
the Caecus River,Unknown,"The Battle of the Caecus River or Battle of the Kaikos was a battle between an army of the Kingdom of Pergamon commanded by Attalus I, and the Galatian tribes who resided in Anatolia (Asia Minor).  The battle took place near the source of the Caecus River (Ancient Greek: Κάϊκος, romanized: Káïkos) and resulted in a victory for the Kingdom of Pergamon.
The exact date of the battle is unknown, but it seems to have taken place early in the reign of Attalus I.  Attalus I celebrated it as a great vic",https://en.wikipedia.org/wiki/Battle_of_the_Caecus_River
Şarköy,Unknown,"The Battle of Şarköy or Şarköy operation (Bulgarian: Битка при Шаркьой, Turkish: Şarköy Çıkarması) took place between 9 and 11 February 1913 during the First Balkan War between Bulgaria and the Ottoman Empire. The Ottomans attempted a counter-attack, but were defeated by the Bulgarians at the Battles of Bulair and Şarköy.",https://en.wikipedia.org/wiki/Battle_of_%C5%9Eark%C3%B6y
Remich,Unknown,"The Battle of Remich was fought between Vikings and Frankish officials at Remich, Luxembourg, on April 11, 882. The Vikings were led by Godfrid and Sigfrid, while the Franks were led by Wala, the archbishop of Metz, Bertulf, the archbishop of Trier, and Adalhard, the Count of Metz. The battle was a victory for the Vikings, although they retreated after the battle. It marks the southernmost advance of the Vikings into the Rhineland.",https://en.wikipedia.org/wiki/Battle_of_Remich
Fariskur (1250),Unknown,"The Battle of Fariskur was the last major battle of the Seventh Crusade. The battle was fought on 6 April 1250, between the Crusaders led by King Louis IX of France (later Saint Louis) and Egyptian forces led by Turanshah of the Ayyubid dynasty. 
Following the Crusader's early defeat at the Battle of Al Mansurah in February 1250, the Battle of Fariskur resulted in the complete defeat of the crusader army and the capture of Louis IX.

",https://en.wikipedia.org/wiki/Battle_of_Fariskur_(1250)
Benfleet,Unknown,"The Battle of Benfleet was an 894 battle between the Vikings and the Anglo-Saxons commanded by Edward the Elder and Æthelred, Lord of the Mercians, the son and son-in-law of Alfred the Great respectively. The battle was part of a campaign started by the Vikings in 892 to raid and potentially occupy lands in England, having been defeated by the armies of France. As part of this campaign the invaders were supported by those Vikings who had settled in England following an earlier invasion launched ",https://en.wikipedia.org/wiki/Battle_of_Benfleet
Przemyśl,Unknown,"The siege of Przemyśl was the longest siege in Europe during the First World War, and the second largest in the entire conflict, after the Siege of Medina. The siege was a crushing defeat of the Austro-Hungarian Army by the Russian Army. Przemyśl was a fortress-town and stronghold on the River San in what is now southeastern Poland. The investment of Przemyśl began on 16 September 1914 and was briefly suspended on 11 October, due to an Austro-Hungarian offensive. The siege resumed on 9 November ",https://en.wikipedia.org/wiki/Siege_of_Przemy%C5%9Bl
Tromsø,Unknown,"The Battle of Tromsø or the Battle of Pølsehavna was an unsuccessful British attempt a to enforce a blockade against Norway during the Napoleonic Wars. It took place in Pølsehavna in Tromsø. After the battle Hans Carl Bodenhoff earned the title ""The lion from Tromsø"". Horatio then returned to the United Kingdom due to the British suffering major losses.",https://en.wikipedia.org/wiki/Battle_of_Troms%C3%B8
Blue & Gray: Four American Civil War Battles,Unknown,"Blue & Gray: Four American Civil War Battles is a board wargame originally published by Simulations Publications, Inc. (SPI) in 1975 that simulates four American Civil War battles.",https://en.wikipedia.org/wiki/Blue_%26_Gray:_Four_American_Civil_War_Battles
Martinique (1780),Unknown,"The Battle of Martinique, also known as the Battle of Dominica, took place on 17 April 1780 during the American Revolutionary War in the West Indies between the Royal Navy and the French Navy.

",https://en.wikipedia.org/wiki/Battle_of_Martinique_(1780)
Vicksburg,Unknown,"The siege of Vicksburg (May 18 – July 4, 1863) was the final major military action in the Vicksburg campaign of the American Civil War. In a series of maneuvers, Union Major General Ulysses S. Grant and his Army of the Tennessee crossed the Mississippi River and drove the Confederate Army of Mississippi, led by Lieutenant General John C. Pemberton, into the defensive lines surrounding the fortress city of Vicksburg, Mississippi, leading to the successful siege and Confederate surrender.
Vicksbur",https://en.wikipedia.org/wiki/Siege_of_Vicksburg
Sarikamish,Unknown,"The Battle of Sarikamish was an engagement between the Russian and Ottoman Empires during World War I. It took place from 22 December 1914, to 17 January 1915, as part of the Caucasus campaign.
The battle resulted in a decisive Russian victory. The Ottoman plan relied on highly mobile troops capable of reaching specific objectives at precise times, drawing on German and Napoleonic tactical principles. However, the Ottoman forces were inadequately equipped for the harsh winter conditions and suff",https://en.wikipedia.org/wiki/Battle_of_Sarikamish
Great Cane Brake,Unknown,"The Battle of Great Cane Brake was a skirmish fought on December 22, 1775, during the American Revolutionary War in what was then Ninety-Six District, South Carolina, modern Greenville County.",https://en.wikipedia.org/wiki/Battle_of_Great_Cane_Brake
Kütahya–Eskişehir,Unknown,"The Battle of Kütahya–Eskişehir (Greek: Μάχες Κιουτάχειας-Δορυλαίου, Turkish: Kütahya-Eskişehir Muharebeleri), was fought between July 10 and July 24 (or June 27 and July 10 in the old calendar, then in use in Greece), 1921 when the Greek Army of Asia Minor clashed with the Turkish troops commanded by İsmet Pasha in defence of the line of Kara Hisâr-ı Sahib (present day Afyonkarahisar)-Kütahya-Eskişehir. 
It was also known in some Greek historiography as the Battles of Kutahya-Dorylaion. It was ",https://en.wikipedia.org/wiki/Battle_of_K%C3%BCtahya%E2%80%93Eski%C5%9Fehir
Italian prisoners of war in World War I,Unknown,"Around 600,000 Italian soldiers were taken prisoner during the First World War, about half in the aftermath of Caporetto. Roughly one Italian soldier in seven was captured, a significantly higher number than in other armies on the Western Front. About 100,000 Italian prisoners of war never returned home, having succumbed to hardship, hunger, cold and disease (mainly tuberculosis). Uniquely among the Allied powers, Italy refused to assist its prisoners, and even hindered efforts by soldiers’ fami",https://en.wikipedia.org/wiki/Italian_prisoners_of_war_in_World_War_I
List of infantry weapons of World War I,Unknown,This is a list of World War I infantry weapons.,https://en.wikipedia.org/wiki/List_of_infantry_weapons_of_World_War_I
American Revolutionary War,Unknown,"The American Revolutionary War (April 19, 1775 – September 3, 1783), also known as the Revolutionary War or American War of Independence, was the armed conflict that comprised the final eight years of the broader American Revolution, in which American Patriot forces organized as the Continental Army and commanded by George Washington defeated the British Army. The conflict was fought in North America, the Caribbean, and the Atlantic Ocean. The war's outcome seemed uncertain for most of the war. ",https://en.wikipedia.org/wiki/American_Revolutionary_War
al-Babein,Unknown,"The Battle of al-Babein took place on March 18, 1167, during the third Crusader invasion of Egypt. King Amalric I of Jerusalem, and a Zengid army under Shirkuh, both hoped to take the control of Egypt over from the Fatimid Caliphate. Saladin served as Shirkuh’s highest-ranking officer in the battle. The result was a tactical draw between the forces, however the Crusaders failed to gain access to Egypt.

",https://en.wikipedia.org/wiki/Battle_of_al-Babein
Prisoners of war in World War I,Unknown,"During World War I between 7–9 million soldiers surrendered and were held in prisoner-of-war camps. Approximately 10% (~750,000) died in captivity.
While the Allied prisoners of the Central Powers were quickly sent home at the end of active hostilities, the same treatment was not granted to Central Power prisoners of the Allies, many of whom served as forced labour, e.g., in France until 1920.",https://en.wikipedia.org/wiki/Prisoners_of_war_in_World_War_I
List of American Civil War battles in Northern Virginia,Unknown,"With less than 150 miles separating the two capital cities of Washington, D.C., and Richmond, Virginia, Northern Virginia found itself in the center of much of the conflict of the American Civil War. The area was the site of many battles and bloodshed. The Army of Northern Virginia was the primary army for the Confederate States of America in the east. Owing to the regions proximity to Washington D.C and the Potomac River, the armies of both sides frequently occupied and traversed Northern Virgi",https://en.wikipedia.org/wiki/List_of_American_Civil_War_battles_in_Northern_Virginia
Wars of the Delian League,Unknown,"The Wars of the Delian League (477–449 BC) were a series of campaigns fought between the Delian League of Athens and her allies (and later subjects), and the Achaemenid Empire of Persia. These conflicts represent a continuation of the Greco-Persian Wars, after the Ionian Revolt and the first and second Persian invasions of Greece.
The Greek alliance, centred on Sparta and Athens, that had defeated the second Persian invasion had initially followed up this success by capturing the Persian garriso",https://en.wikipedia.org/wiki/Wars_of_the_Delian_League
Ashdown,Unknown,"The Battle of Ashdown was a West Saxon victory over a Danish Viking army on about 8 January 871. The location of Ashdown is not known, but may be Kingstanding Hill in Berkshire. Other writers place the battle near Starveall, a short distance north of the village of Aldworth and south east of Lowbury Hill.
The West Saxons were led by King Æthelred and his younger brother, the future King Alfred the Great, while the Viking commanders were Bagsecg and Halfdan. The battle is described in the Anglo-S",https://en.wikipedia.org/wiki/Battle_of_Ashdown
World War I memorials,Unknown,"World War I is remembered and commemorated by various war memorials, including civic memorials, larger national monuments, war cemeteries, private memorials and a range of utilitarian designs such as halls and parks, dedicated to remembering those involved in the conflict. Huge numbers of memorials were built in the 1920s and 1930s, with around 176,000 erected in France alone. This was a new social phenomenon and marked a major cultural shift in how nations commemorated conflicts. Interest in Wo",https://en.wikipedia.org/wiki/World_War_I_memorials
